month,customer_id,segment_id,plant_id,currency,volume_t,net_sales_local,net_sales_eur,orders,deliveries,freight_local,freight_eur,order_handling_local,order_handling_eur
2024-12,C002,S4,P2,EUR,1948.82,2375685.3,2375685.3,53,132,50820.0,50820.0,46640.0,46640.0
2025-01,C002,S4,P2,EUR,1897.52,2215453.97,2215453.97,52,128,51712.0,51712.0,47060.0,47060.0
2025-02,C002,S4,P2,EUR,1657.11,1948077.81,1948077.81,45,112,45248.0,45248.0,40725.0,40725.0
2025-03,C002,S4,P2,EUR,1863.1,2189401.36,2189401.36,51,126,50904.0,50904.0,46155.0,46155.0
2025-04,C002,S4,P2,EUR,1563.22,1845983.19,1845983.19,43,106,42824.0,42824.0,38915.0,38915.0
2025-05,C002,S4,P2,EUR,1850.51,2183510.66,2183510.66,51,125,50500.0,50500.0,46155.0,46155.0
2025-06,C002,S4,P2,EUR,1639.5,1918226.38,1918226.38,45,111,44844.0,44844.0,40725.0,40725.0
2025-07,C002,S4,P2,EUR,1590.5,1864520.15,1864520.15,44,108,43632.0,43632.0,39820.0,39820.0
2025-08,C002,S4,P2,EUR,1889.77,2215190.15,2215190.15,52,128,51712.0,51712.0,47060.0,47060.0
2025-09,C002,S4,P2,EUR,2033.55,2383820.63,2383820.63,56,137,55348.0,55348.0,50680.0,50680.0
2025-10,C002,S4,P2,EUR,2066.89,2429838.7,2429838.7,57,140,56560.0,56560.0,51585.0,51585.0
2025-11,C002,S4,P2,EUR,2008.12,2364988.95,2364988.95,55,136,54944.0,54944.0,49775.0,49775.0
2025-12,C002,S4,P2,EUR,1642.99,1934282.1,1934282.1,45,111,44844.0,44844.0,40725.0,40725.0
2024-01,C003,S4,P2,EUR,2173.28,2590997.06,2590997.06,39,124,47740.0,47740.0,34320.0,34320.0
2024-02,C003,S4,P2,EUR,2198.07,2629872.92,2629872.92,40,125,48125.0,48125.0,35200.0,35200.0
2024-03,C003,S4,P2,EUR,2206.19,2624054.87,2624054.87,40,126,48510.0,48510.0,35200.0,35200.0
2024-04,C003,S4,P2,EUR,2284.0,2723880.75,2723880.75,41,130,50050.0,50050.0,36080.0,36080.0
2024-05,C003,S4,P2,EUR,2077.48,2490987.28,2490987.28,37,118,45430.0,45430.0,32560.0,32560.0
2024-06,C003,S4,P2,EUR,2049.34,2451339.64,2451339.64,37,117,45045.0,45045.0,32560.0,32560.0
2024-07,C003,S4,P2,EUR,2101.58,2522535.32,2522535.32,38,120,46200.0,46200.0,33440.0,33440.0
2024-08,C003,S4,P2,EUR,1992.67,2367681.83,2367681.83,36,114,43890.0,43890.0,31680.0,31680.0
2024-09,C003,S4,P2,EUR,2317.92,2756546.28,2756546.28,42,132,50820.0,50820.0,36960.0,36960.0
2024-10,C003,S4,P2,EUR,2381.54,2862536.34,2862536.34,43,136,52360.0,52360.0,37840.0,37840.0
2024-11,C003,S4,P2,EUR,2401.1,2889017.23,2889017.23,43,137,52745.0,52745.0,37840.0,37840.0
2024-12,C003,S4,P2,EUR,2310.99,2751715.27,2751715.27,42,132,50820.0,50820.0,36960.0,36960.0
2025-01,C003,S4,P2,EUR,2258.68,2722933.28,2722933.28,41,129,52116.0,52116.0,37105.0,37105.0
2025-02,C003,S4,P2,EUR,2064.13,2509237.05,2509237.05,37,118,47672.0,47672.0,33485.0,33485.0
2025-03,C003,S4,P2,EUR,2337.7,2838598.59,2838598.59,42,133,53732.0,53732.0,38010.0,38010.0
2025-04,C003,S4,P2,EUR,2245.93,2735482.31,2735482.31,40,128,51712.0,51712.0,36200.0,36200.0
2025-05,C003,S4,P2,EUR,2237.07,2724885.42,2724885.42,40,127,51308.0,51308.0,36200.0,36200.0
2025-06,C003,S4,P2,EUR,2295.67,2778101.68,2778101.68,41,131,52924.0,52924.0,37105.0,37105.0
2025-07,C003,S4,P2,EUR,2086.84,2550483.1,2550483.1,38,119,48076.0,48076.0,34390.0,34390.0
2025-08,C003,S4,P2,EUR,2527.64,3043123.0,3043123.0,45,144,58176.0,58176.0,40725.0,40725.0
2025-09,C003,S4,P2,EUR,2398.82,2925973.52,2925973.52,43,137,55348.0,55348.0,38915.0,38915.0
2025-10,C003,S4,P2,EUR,2351.57,2841608.85,2841608.85,42,134,54136.0,54136.0,38010.0,38010.0
2025-11,C003,S4,P2,EUR,2393.5,2913715.09,2913715.09,43,136,54944.0,54944.0,38915.0,38915.0
2025-12,C003,S4,P2,EUR,2314.47,2787689.05,2787689.05,42,132,53328.0,53328.0,38010.0,38010.0
2024-01,C004,S1,P1,EUR,1715.77,1686391.7,1686391.7,51,79,30415.0,30415.0,44880.0,44880.0
2024-02,C004,S1,P1,EUR,1783.13,1748771.98,1748771.98,53,82,31570.0,31570.0,46640.0,46640.0
2024-03,C004,S1,P1,EUR,2005.99,1968700.08,1968700.08,59,92,35420.0,35420.0,51920.0,51920.0
2024-04,C004,S1,P1,EUR,1752.55,1710356.56,1710356.56,52,80,30800.0,30800.0,45760.0,45760.0
2024-05,C004,S1,P1,EUR,1980.61,1942479.52,1942479.52,59,91,35035.0,35035.0,51920.0,51920.0
2024-06,C004,S1,P1,EUR,1754.93,1713833.43,1713833.43,52,81,31185.0,31185.0,45760.0,45760.0
2024-07,C004,S1,P1,EUR,1739.57,1698326.72,1698326.72,51,80,30800.0,30800.0,44880.0,44880.0
2024-08,C004,S1,P1,EUR,1825.43,1793272.17,1793272.17,54,84,32340.0,32340.0,47520.0,47520.0
2024-09,C004,S1,P1,EUR,2130.06,2074802.73,2074802.73,63,98,37730.0,37730.0,55440.0,55440.0
2024-10,C004,S1,P1,EUR,2014.43,1960689.16,1960689.16,60,93,35805.0,35805.0,52800.0,52800.0
2024-11,C004,S1,P1,EUR,1892.56,1862954.76,1862954.76,56,87,33495.0,33495.0,49280.0,49280.0
2024-12,C004,S1,P1,EUR,1963.5,1925955.28,1925955.28,58,90,34650.0,34650.0,51040.0,51040.0
2025-01,C004,S1,P1,EUR,1464.26,1389523.14,1389523.14,43,67,27068.0,27068.0,38915.0,38915.0
2025-02,C004,S1,P1,EUR,1946.65,1841383.39,1841383.39,58,89,35956.0,35956.0,52490.0,52490.0
2025-03,C004,S1,P1,EUR,1874.59,1771602.01,1771602.01,55,86,34744.0,34744.0,49775.0,49775.0
2025-04,C004,S1,P1,EUR,2000.43,1887173.41,1887173.41,59,92,37168.0,37168.0,53395.0,53395.0
2025-05,C004,S1,P1,EUR,1818.65,1713629.7,1713629.7,54,84,33936.0,33936.0,48870.0,48870.0
2025-06,C004,S1,P1,EUR,1927.04,1822323.18,1822323.18,57,88,35552.0,35552.0,51585.0,51585.0
2025-07,C004,S1,P1,EUR,1504.17,1420880.23,1420880.23,44,69,27876.0,27876.0,39820.0,39820.0
2025-08,C004,S1,P1,EUR,1715.08,1626564.09,1626564.09,51,79,31916.0,31916.0,46155.0,46155.0
2025-09,C004,S1,P1,EUR,2048.39,1952914.69,1952914.69,61,94,37976.0,37976.0,55205.0,55205.0
2025-10,C004,S1,P1,EUR,2001.11,1888364.32,1888364.32,59,92,37168.0,37168.0,53395.0,53395.0
2025-11,C004,S1,P1,EUR,1969.87,1851136.9,1851136.9,58,90,36360.0,36360.0,52490.0,52490.0
2025-12,C004,S1,P1,EUR,1792.25,1690705.05,1690705.05,53,82,33128.0,33128.0,47965.0,47965.0
2024-01,C005,S1,P3,SEK,2223.21,24357912.35,2126307.22,44,108,475200.0,41482.26,442200.0,38601.55
2024-02,C005,S1,P3,SEK,2501.05,27436639.44,2398685.06,49,121,532400.0,46545.79,492450.0,43053.1
2024-03,C005,S1,P3,SEK,2760.56,30243603.43,2650134.81,55,134,589600.0,51664.46,552750.0,48435.43
2024-04,C005,S1,P3,SEK,2666.06,29098579.94,2536177.59,53,129,567600.0,49470.95,532650.0,46424.77
2024-05,C005,S1,P3,SEK,2542.05,27956978.04,2445994.04,50,123,541200.0,47350.32,502500.0,43964.41
2024-06,C005,S1,P3,SEK,2167.27,23773926.01,2083001.94,43,105,462000.0,40479.09,432150.0,37863.72
2024-07,C005,S1,P3,SEK,2141.42,23625924.61,2083966.18,42,104,457600.0,40363.41,422100.0,37232.07
2024-08,C005,S1,P3,SEK,2546.13,28174339.59,2460211.28,50,123,541200.0,47258.12,502500.0,43878.8
2024-09,C005,S1,P3,SEK,2511.18,27402693.3,2405221.92,50,121,532400.0,46730.45,502500.0,44106.03
2024-10,C005,S1,P3,SEK,2583.24,28429435.42,2492170.54,51,125,550000.0,48213.89,512550.0,44930.97
2024-11,C005,S1,P3,SEK,2832.78,30971596.5,2699402.67,56,137,602800.0,52538.46,562800.0,49052.16
2024-12,C005,S1,P3,SEK,2666.35,29441096.08,2577578.01,53,129,567600.0,49693.57,532650.0,46633.69
2025-01,C005,S1,P3,SEK,2354.79,25092669.65,2108131.67,47,114,526680.0,44248.41,486450.0,40868.54
2025-02,C005,S1,P3,SEK,2361.82,25224898.89,2125043.08,47,114,526680.0,44369.56,486450.0,40980.43
2025-03,C005,S1,P3,SEK,2466.62,26143475.84,2192196.34,49,119,549780.0,46100.44,507150.0,42525.81
2025-04,C005,S1,P3,SEK,2489.43,26527503.58,2241255.79,49,120,554400.0,46840.15,507150.0,42848.09
2025-05,C005,S1,P3,SEK,2506.67,26547225.11,2228275.2,50,121,559020.0,46922.06,517500.0,43437.02
2025-06,C005,S1,P3,SEK,2548.15,27060491.43,2284607.58,50,123,568260.0,47975.89,517500.0,43690.43
2025-07,C005,S1,P3,SEK,2137.14,22595552.26,1898562.54,42,103,475860.0,39983.53,434700.0,36525.11
2025-08,C005,S1,P3,SEK,2656.8,28160610.41,2394141.49,53,129,595980.0,50668.66,548550.0,46636.29
2025-09,C005,S1,P3,SEK,2529.61,26825943.01,2251631.95,50,122,563640.0,47309.05,517500.0,43436.29
2025-10,C005,S1,P3,SEK,2530.26,26839897.92,2262068.73,50,122,563640.0,47503.62,517500.0,43614.94
2025-11,C005,S1,P3,SEK,2727.42,28829172.64,2429213.13,54,132,609840.0,51386.54,558900.0,47094.21
2025-12,C005,S1,P3,SEK,2545.32,26941402.58,2272826.42,50,123,568260.0,47939.46,517500.0,43657.25
2024-01,C006,S2,P1,EUR,1812.23,1761625.5,1761625.5,68,113,43505.0,43505.0,59840.0,59840.0
2024-02,C006,S2,P1,EUR,1628.15,1597531.49,1597531.49,61,102,39270.0,39270.0,53680.0,53680.0
2024-03,C006,S2,P1,EUR,1897.26,1845089.84,1845089.84,71,119,45815.0,45815.0,62480.0,62480.0
2024-04,C006,S2,P1,EUR,1777.34,1731505.86,1731505.86,67,111,42735.0,42735.0,58960.0,58960.0
2024-05,C006,S2,P1,EUR,1759.02,1730328.59,1730328.59,66,110,42350.0,42350.0,58080.0,58080.0
2024-06,C006,S2,P1,EUR,1639.22,1600397.74,1600397.74,62,102,39270.0,39270.0,54560.0,54560.0
2024-07,C006,S2,P1,EUR,1630.79,1586951.5,1586951.5,61,102,39270.0,39270.0,53680.0,53680.0
2024-08,C006,S2,P1,EUR,1738.05,1703791.51,1703791.51,65,109,41965.0,41965.0,57200.0,57200.0
2024-09,C006,S2,P1,EUR,1863.68,1820307.18,1820307.18,70,116,44660.0,44660.0,61600.0,61600.0
2024-10,C006,S2,P1,EUR,2109.29,2063204.73,2063204.73,79,132,50820.0,50820.0,69520.0,69520.0
2024-11,C006,S2,P1,EUR,1799.27,1762997.34,1762997.34,68,112,43120.0,43120.0,59840.0,59840.0
2024-12,C006,S2,P1,EUR,1955.38,1899350.27,1899350.27,73,122,46970.0,46970.0,64240.0,64240.0
2025-01,C006,S2,P1,EUR,1953.86,1951538.85,1951538.85,73,122,49288.0,49288.0,66065.0,66065.0
2025-02,C006,S2,P1,EUR,1758.65,1749935.09,1749935.09,66,110,44440.0,44440.0,59730.0,59730.0
2025-03,C006,S2,P1,EUR,1988.81,1973476.34,1973476.34,75,124,50096.0,50096.0,67875.0,67875.0
2025-04,C006,S2,P1,EUR,1948.09,1930441.45,1930441.45,73,122,49288.0,49288.0,66065.0,66065.0
2025-05,C006,S2,P1,EUR,2004.22,1989497.71,1989497.71,75,125,50500.0,50500.0,67875.0,67875.0
2025-06,C006,S2,P1,EUR,1976.14,1956824.19,1956824.19,74,124,50096.0,50096.0,66970.0,66970.0
2025-07,C006,S2,P1,EUR,1655.22,1640713.21,1640713.21,62,103,41612.0,41612.0,56110.0,56110.0
2025-08,C006,S2,P1,EUR,2075.57,2069985.19,2069985.19,78,130,52520.0,52520.0,70590.0,70590.0
2025-09,C006,S2,P1,EUR,2216.25,2200570.11,2200570.11,83,139,56156.0,56156.0,75115.0,75115.0
2025-10,C006,S2,P1,EUR,1895.7,1878110.13,1878110.13,71,118,47672.0,47672.0,64255.0,64255.0
2025-11,C006,S2,P1,EUR,1985.86,1971672.33,1971672.33,75,124,50096.0,50096.0,67875.0,67875.0
2025-12,C006,S2,P1,EUR,2284.93,2253080.59,2253080.59,86,143,57772.0,57772.0,77830.0,77830.0
2024-01,C007,S2,P1,EUR,1302.77,1233658.1,1233658.1,51,64,24640.0,24640.0,44880.0,44880.0
2024-02,C007,S2,P1,EUR,1514.35,1438896.42,1438896.42,59,74,28490.0,28490.0,51920.0,51920.0
2024-03,C007,S2,P1,EUR,1648.43,1556721.92,1556721.92,64,81,31185.0,31185.0,56320.0,56320.0
2024-04,C007,S2,P1,EUR,1407.45,1338458.7,1338458.7,55,69,26565.0,26565.0,48400.0,48400.0
2024-05,C007,S2,P1,EUR,1676.96,1587038.25,1587038.25,65,82,31570.0,31570.0,57200.0,57200.0
2024-06,C007,S2,P1,EUR,1567.6,1483596.34,1483596.34,61,77,29645.0,29645.0,53680.0,53680.0
2024-07,C007,S2,P1,EUR,1358.99,1294549.89,1294549.89,53,67,25795.0,25795.0,46640.0,46640.0
2024-08,C007,S2,P1,EUR,1513.67,1429443.37,1429443.37,59,74,28490.0,28490.0,51920.0,51920.0
2024-09,C007,S2,P1,EUR,1886.57,1790675.5,1790675.5,73,93,35805.0,35805.0,64240.0,64240.0
2024-10,C007,S2,P1,EUR,1510.42,1439209.72,1439209.72,59,74,28490.0,28490.0,51920.0,51920.0
2024-11,C007,S2,P1,EUR,1492.51,1419518.79,1419518.79,58,73,28105.0,28105.0,51040.0,51040.0
2024-12,C007,S2,P1,EUR,1586.09,1504729.45,1504729.45,62,78,30030.0,30030.0,54560.0,54560.0
2025-01,C007,S2,P1,EUR,1684.9,1551016.06,1551016.06,65,83,33532.0,33532.0,58825.0,58825.0
2025-02,C007,S2,P1,EUR,1474.99,1341176.87,1341176.87,57,72,29088.0,29088.0,51585.0,51585.0
2025-03,C007,S2,P1,EUR,1723.78,1572212.14,1572212.14,67,85,34340.0,34340.0,60635.0,60635.0
2025-04,C007,S2,P1,EUR,1579.89,1451782.89,1451782.89,61,78,31512.0,31512.0,55205.0,55205.0
2025-05,C007,S2,P1,EUR,1554.8,1425841.54,1425841.54,60,76,30704.0,30704.0,54300.0,54300.0
2025-06,C007,S2,P1,EUR,1568.71,1444181.03,1444181.03,61,77,31108.0,31108.0,55205.0,55205.0
2025-07,C007,S2,P1,EUR,1495.96,1380057.08,1380057.08,58,73,29492.0,29492.0,52490.0,52490.0
2025-08,C007,S2,P1,EUR,1462.62,1339728.19,1339728.19,57,72,29088.0,29088.0,51585.0,51585.0
2025-09,C007,S2,P1,EUR,1903.15,1730896.23,1730896.23,74,93,37572.0,37572.0,66970.0,66970.0
2025-10,C007,S2,P1,EUR,1617.78,1479459.08,1479459.08,63,79,31916.0,31916.0,57015.0,57015.0
2025-11,C007,S2,P1,EUR,1858.26,1691863.11,1691863.11,72,91,36764.0,36764.0,65160.0,65160.0
2025-12,C007,S2,P1,EUR,1677.44,1543721.6,1543721.6,65,82,33128.0,33128.0,58825.0,58825.0
2024-01,C008,S3,P4,SEK,1372.01,13450097.82,1174117.05,39,67,294800.0,25734.36,391950.0,34215.01
2024-02,C008,S3,P4,SEK,1219.43,11973534.9,1046802.37,35,60,264000.0,23080.55,351750.0,30752.22
2024-03,C008,S3,P4,SEK,1415.26,13857223.34,1214257.09,41,70,308000.0,26988.9,412050.0,36106.41
2024-04,C008,S3,P4,SEK,1359.25,13299888.53,1159193.31,39,67,294800.0,25694.21,391950.0,34161.63
2024-05,C008,S3,P4,SEK,1545.83,15155245.68,1325953.06,44,76,334400.0,29257.11,442200.0,38688.68
2024-06,C008,S3,P4,SEK,1340.87,13211544.43,1157556.92,39,66,290400.0,25444.0,391950.0,34341.51
2024-07,C008,S3,P4,SEK,1120.15,11080505.4,977375.44,32,55,242000.0,21346.04,321600.0,28367.29
2024-08,C008,S3,P4,SEK,1238.19,12214673.08,1066597.37,36,61,268400.0,23436.95,361800.0,31592.73
2024-09,C008,S3,P4,SEK,1525.89,14975539.67,1314450.95,44,75,330000.0,28965.15,442200.0,38813.31
2024-10,C008,S3,P4,SEK,1357.4,13310564.33,1166825.71,39,67,294800.0,25842.65,391950.0,34358.97
2024-11,C008,S3,P4,SEK,1419.1,13986643.64,1219038.97,41,70,308000.0,26844.47,412050.0,35913.19
2024-12,C008,S3,P4,SEK,1273.07,12610080.99,1104016.9,37,63,277200.0,24268.95,371850.0,32555.59
2025-01,C008,S3,P4,SEK,1483.54,14766614.49,1240600.07,43,73,337260.0,28334.51,445050.0,37390.36
2025-02,C008,S3,P4,SEK,1396.54,13902135.75,1171169.7,40,69,318780.0,26855.26,414000.0,34876.96
2025-03,C008,S3,P4,SEK,1473.67,14691734.25,1231938.94,42,72,332640.0,27892.7,434700.0,36450.69
2025-04,C008,S3,P4,SEK,1519.15,15232641.06,1286975.42,44,75,346500.0,29275.09,455400.0,38475.84
2025-05,C008,S3,P4,SEK,1357.19,13542897.41,1136740.37,39,67,309540.0,25981.63,403650.0,33880.88
2025-06,C008,S3,P4,SEK,1379.17,13673229.07,1154375.3,40,68,314160.0,26523.26,414000.0,34952.34
2025-07,C008,S3,P4,SEK,1194.69,11976659.4,1006323.58,34,59,272580.0,22903.19,351900.0,29567.95
2025-08,C008,S3,P4,SEK,1422.79,14198498.87,1207119.26,41,70,323400.0,27494.62,424350.0,36077.13
2025-09,C008,S3,P4,SEK,1423.64,14277110.46,1198347.36,41,70,323400.0,27144.54,424350.0,35617.76
2025-10,C008,S3,P4,SEK,1577.85,15670627.5,1320721.73,45,78,360360.0,30371.17,465750.0,39253.45
2025-11,C008,S3,P4,SEK,1508.66,14978830.54,1262151.09,43,74,341880.0,28807.6,445050.0,37500.95
2025-12,C008,S3,P4,SEK,1533.32,15419196.1,1300791.83,44,75,346500.0,29231.38,455400.0,38418.38
2024-01,C009,S3,P3,SEK,2708.88,26714107.46,2331989.65,59,160,704000.0,61455.2,592950.0,51761.16
2024-02,C009,S3,P3,SEK,2385.13,23528117.72,2056977.3,52,141,620400.0,54239.3,522600.0,45689.01
2024-03,C009,S3,P3,SEK,2485.32,24497237.65,2146602.08,54,147,646800.0,56676.69,542700.0,47554.79
2024-04,C009,S3,P3,SEK,2931.97,29002506.66,2527804.02,64,173,761200.0,66344.76,643200.0,56060.1
2024-05,C009,S3,P3,SEK,2797.25,27743328.24,2427301.53,61,165,726000.0,63518.73,613050.0,53636.58
2024-06,C009,S3,P3,SEK,2695.22,26560727.45,2327173.34,58,159,699600.0,61296.91,582900.0,51071.99
2024-07,C009,S3,P3,SEK,2297.27,22913704.33,2021143.54,50,136,598400.0,52782.92,502500.0,44323.9
2024-08,C009,S3,P3,SEK,2491.47,24511477.74,2140366.55,54,147,646800.0,56479.22,542700.0,47389.1
2024-09,C009,S3,P3,SEK,2766.11,27239222.67,2390873.58,60,164,721600.0,63337.14,603000.0,52927.24
2024-10,C009,S3,P3,SEK,3021.01,29677487.07,2601576.78,65,179,787600.0,69042.3,653250.0,57264.96
2024-11,C009,S3,P3,SEK,3152.65,31055225.58,2706691.56,68,186,818400.0,71329.59,683400.0,59563.34
2024-12,C009,S3,P3,SEK,2862.19,28178534.48,2467040.32,62,169,743600.0,65102.43,623100.0,54552.62
2025-01,C009,S3,P3,SEK,2764.12,27632273.47,2321493.55,60,163,753060.0,63267.47,621000.0,52172.6
2025-02,C009,S3,P3,SEK,2919.72,29204169.92,2460272.27,63,173,799260.0,67332.75,652050.0,54931.21
2025-03,C009,S3,P3,SEK,3536.11,34964789.09,2931885.68,77,209,965580.0,80966.32,796950.0,66826.27
2025-04,C009,S3,P3,SEK,2997.84,29997044.02,2534390.34,65,177,817740.0,69089.22,672750.0,56839.3
2025-05,C009,S3,P3,SEK,2966.39,29719775.39,2494567.26,64,175,808500.0,67862.48,662400.0,55599.39
2025-06,C009,S3,P3,SEK,3389.8,33856536.61,2858370.12,73,200,924000.0,78009.57,755550.0,63788.02
2025-07,C009,S3,P3,SEK,2666.8,26820272.96,2253539.33,58,158,729960.0,61333.96,600300.0,50439.44
2025-08,C009,S3,P3,SEK,2917.81,29277895.8,2489130.17,63,172,794640.0,67558.22,652050.0,55435.59
2025-09,C009,S3,P3,SEK,3464.0,34706294.67,2913068.21,75,205,947100.0,79494.71,776250.0,65154.44
2025-10,C009,S3,P3,SEK,3667.86,36900616.96,3109986.93,79,217,1002540.0,84494.15,817650.0,68911.61
2025-11,C009,S3,P3,SEK,3188.54,31907910.7,2688634.76,69,188,868560.0,73186.89,714150.0,60175.94
2025-12,C009,S3,P3,SEK,3084.18,31049616.04,2619402.89,67,182,840840.0,70934.81,693450.0,58500.72
2024-01,C010,S1,P1,EUR,1920.14,1832002.65,1832002.65,72,78,30030.0,30030.0,63360.0,63360.0
2024-02,C010,S1,P1,EUR,2026.46,1931477.28,1931477.28,76,83,31955.0,31955.0,66880.0,66880.0
2024-03,C010,S1,P1,EUR,2099.29,2010963.65,2010963.65,79,86,33110.0,33110.0,69520.0,69520.0
2024-04,C010,S1,P1,EUR,1810.06,1721405.41,1721405.41,68,74,28490.0,28490.0,59840.0,59840.0
2024-05,C010,S1,P1,EUR,1914.68,1822025.79,1822025.79,72,78,30030.0,30030.0,63360.0,63360.0
2024-06,C010,S1,P1,EUR,2088.7,2004461.02,2004461.02,79,85,32725.0,32725.0,69520.0,69520.0
2024-07,C010,S1,P1,EUR,1758.77,1672784.3,1672784.3,66,72,27720.0,27720.0,58080.0,58080.0
2024-08,C010,S1,P1,EUR,1763.27,1688204.59,1688204.59,66,72,27720.0,27720.0,58080.0,58080.0
2024-09,C010,S1,P1,EUR,2116.19,2005817.45,2005817.45,80,86,33110.0,33110.0,70400.0,70400.0
2024-10,C010,S1,P1,EUR,2092.03,1991092.72,1991092.72,79,85,32725.0,32725.0,69520.0,69520.0
2024-11,C010,S1,P1,EUR,2327.35,2219105.17,2219105.17,88,95,36575.0,36575.0,77440.0,77440.0
2024-12,C010,S1,P1,EUR,2063.56,1960752.99,1960752.99,78,84,32340.0,32340.0,68640.0,68640.0
2025-01,C010,S1,P1,EUR,2002.25,1838739.2,1838739.2,75,82,33128.0,33128.0,67875.0,67875.0
2025-02,C010,S1,P1,EUR,2336.89,2150950.3,2150950.3,88,96,38784.0,38784.0,79640.0,79640.0
2025-03,C010,S1,P1,EUR,2419.24,2228882.59,2228882.59,91,99,39996.0,39996.0,82355.0,82355.0
2025-04,C010,S1,P1,EUR,2514.12,2317500.13,2317500.13,95,103,41612.0,41612.0,85975.0,85975.0
2025-05,C010,S1,P1,EUR,2264.51,2078973.0,2078973.0,85,93,37572.0,37572.0,76925.0,76925.0
2025-06,C010,S1,P1,EUR,2405.62,2216159.29,2216159.29,90,98,39592.0,39592.0,81450.0,81450.0
