month,plant_id,currency,board_consumed_t,fibre_cost_eur,energy_mwh,energy_cost_local,energy_cost_eur,other_variable_eur,fixed_cost_local,fixed_cost_eur
2025-03,P2,EUR,13865.87,7548094.82,5800.68,434166.09,434166.09,784394.61,1791482.37,1791482.37
2025-04,P2,EUR,13031.06,7045500.1,5376.65,418959.08,418959.08,732338.72,1810744.89,1810744.89
2025-05,P2,EUR,13240.14,7004997.65,5382.07,419306.02,419306.02,747773.4,1776579.4,1776579.4
2025-06,P2,EUR,13010.53,6801080.94,5127.89,379640.06,379640.06,733313.31,1807545.02,1807545.02
2025-07,P2,EUR,11849.84,6355026.77,4572.37,314336.18,314336.18,670114.42,1794357.65,1794357.65
2025-08,P2,EUR,13480.82,7116266.06,5209.33,394387.24,394387.24,771300.25,1833022.2,1833022.2
2025-09,P2,EUR,14049.13,7517771.49,5711.59,427255.95,427255.95,796028.26,1807777.26,1807777.26
2025-10,P2,EUR,14368.41,7823816.94,5882.11,470167.86,470167.86,816460.1,1804380.81,1804380.81
2025-11,P2,EUR,14324.5,7622935.75,6174.29,494486.85,494486.85,814283.58,1816967.31,1816967.31
2025-12,P2,EUR,13390.4,7157622.6,5840.97,460999.22,460999.22,763907.97,1815524.86,1815524.86
2024-01,P3,SEK,10316.37,5367048.25,4469.37,3521555.03,307411.73,428489.4,16130484.62,1408099.57
2024-02,P3,SEK,10078.41,5273353.71,4309.99,3295779.43,288137.94,421122.66,15781375.84,1379707.98
2024-03,P3,SEK,11054.63,5664449.92,4690.68,3466619.3,303766.99,460458.88,15646502.03,1371044.95
2024-04,P3,SEK,11092.65,5854325.16,4563.56,3445628.84,300314.54,460602.82,15661682.04,1365042.8
2024-05,P3,SEK,10825.85,5568139.48,4327.74,3441471.92,301099.06,450421.78,15382269.79,1345815.71
2024-06,P3,SEK,10385.32,5365835.92,4025.87,3029643.45,265448.51,427704.74,15717553.95,1377126.16
2024-07,P3,SEK,9197.02,4802932.6,3549.69,2590626.74,228510.78,382110.6,15887514.91,1401386.16
2024-08,P3,SEK,10356.9,5299319.3,3962.11,3073976.46,268422.67,430442.36,15899472.86,1388357.74
2024-09,P3,SEK,10913.63,5629339.26,4332.31,3219823.03,282614.15,451721.28,15328003.8,1345387.85
2024-10,P3,SEK,11657.51,5990857.08,4786.52,3732771.97,327220.86,483683.88,15062114.72,1320369.47
2024-11,P3,SEK,12129.18,6320999.7,5146.27,3913135.47,341058.57,501805.4,15540674.97,1354484.24
2024-12,P3,SEK,11213.21,5854551.7,4760.18,3714376.02,325194.89,462948.56,15551279.27,1361519.81
2025-01,P3,SEK,10740.62,5743927.07,4698.28,4023762.39,338051.75,454834.16,15851958.92,1331784.03
2025-02,P3,SEK,10961.74,5795380.75,4772.39,4025770.27,339146.46,459987.18,16114663.81,1357561.63
2025-03,P3,SEK,12007.17,6485198.2,5113.12,4304543.55,360946.83,502786.4,16052056.3,1346005.38
2025-04,P3,SEK,11173.83,5984751.66,4797.85,3796854.89,320788.69,473386.45,16065060.28,1357304.86
2025-05,P3,SEK,11537.28,6160112.91,5265.75,4317692.71,362411.04,486412.79,15924592.27,1336650.97
2025-06,P3,SEK,11725.98,6301284.7,5343.04,4427410.18,373788.29,492242.35,15472179.6,1306253.4
2025-07,P3,SEK,9899.56,5204353.79,4402.8,3801697.17,319432.77,412641.71,15382033.28,1292455.79
2025-08,P3,SEK,11139.9,5875319.08,5104.74,4566755.4,388253.61,471315.38,16637428.12,1414470.65
2025-09,P3,SEK,11914.18,6299865.17,5454.28,4443864.44,372995.17,497106.83,15869949.92,1332042.13
2025-10,P3,SEK,12564.26,6649860.76,5907.8,4971034.46,418959.18,523077.87,15721391.31,1325000.11
2025-11,P3,SEK,12335.22,6427854.48,6002.26,5066828.47,426942.75,518688.42,15890444.66,1338965.82
2025-12,P3,SEK,11711.93,6244908.38,5892.37,4987528.88,420757.14,491777.64,15419610.11,1300826.76
2024-01,P4,SEK,5385.49,2776699.39,2390.52,1887589.88,164775.86,222166.28,8572701.0,748348.04
2024-02,P4,SEK,5155.26,2723618.88,2309.69,1744559.87,152520.49,215079.96,8260788.62,722210.54
2024-03,P4,SEK,5377.51,2803593.84,2366.8,1713608.69,150157.17,223705.48,8256014.09,723443.9
2024-04,P4,SEK,5524.87,2897330.93,2325.6,1746826.5,152250.12,229188.66,8410323.44,733028.0
2024-05,P4,SEK,5771.34,2998901.87,2388.39,1751758.24,153263.71,240033.76,8337906.1,729494.75
2024-06,P4,SEK,5404.91,2830440.06,2172.17,1596108.47,139846.36,223675.34,8220070.32,720218.54
2024-07,P4,SEK,4562.37,2346641.57,1846.49,1425964.16,125779.67,189257.56,8379223.95,739104.17
2024-08,P4,SEK,4972.58,2605052.41,1993.06,1516141.65,132390.99,208478.1,8182435.35,714498.37
2024-09,P4,SEK,5702.87,2937863.38,2339.74,1798008.06,157816.91,237800.5,8312724.94,729634.42
2024-10,P4,SEK,5634.32,2920269.68,2380.01,1788090.8,156746.95,234955.48,8072138.0,707616.74
2024-11,P4,SEK,6059.93,3064256.56,2652.79,1961792.59,170984.67,250492.68,8054848.65,702039.36
2024-12,P4,SEK,5409.85,2809592.03,2397.97,1875713.59,164219.37,224755.16,8287737.47,725594.25
2025-01,P4,SEK,5580.97,2937632.22,2502.56,2135791.21,179436.03,237039.7,8698624.54,730804.9
2025-02,P4,SEK,5540.17,2975603.72,2475.89,2170379.02,182841.13,234444.51,8495443.86,715689.06
2025-03,P4,SEK,6063.19,3212306.54,2681.78,2312892.41,193941.86,257914.81,8671524.36,727129.17
2025-04,P4,SEK,5879.95,3156362.68,2505.02,2151953.94,181814.29,249182.06,8658764.72,731561.74
2025-05,P4,SEK,5711.67,3020586.6,2376.63,2138151.31,179468.46,244165.07,8841075.61,742086.96
2025-06,P4,SEK,5622.87,2992152.69,2264.46,1810755.82,152874.77,238400.28,8369288.38,706585.09
2025-07,P4,SEK,5025.69,2663681.11,2007.49,1706696.36,143402.99,211486.35,8605752.98,723087.45
2025-08,P4,SEK,5599.45,2955586.16,2237.65,1880324.1,159860.24,238974.11,8748467.26,743771.82
2025-09,P4,SEK,6082.36,3215806.83,2495.7,2095556.4,175890.25,261112.45,8433672.5,707879.18
2025-10,P4,SEK,6226.47,3372176.73,2661.22,2250142.79,189642.21,262913.81,8538114.36,719592.96
2025-11,P4,SEK,6190.56,3303971.9,2654.97,2365217.94,199298.76,261149.7,8638616.74,727909.94
2025-12,P4,SEK,5911.3,3146749.76,2658.13,2199368.74,185542.8,253101.27,8580739.98,723887.06
2024-01,P5,EUR,2314.29,1207456.48,1027.89,77669.51,77669.51,102851.12,300510.66,300510.66
2024-02,P5,EUR,2333.4,1211273.53,1032.86,82264.62,82264.62,102441.72,313144.52,313144.52
2024-03,P5,EUR,2500.51,1306153.15,1113.61,81724.02,81724.02,112201.58,322502.65,322502.65
2024-04,P5,EUR,2430.53,1277638.09,1025.28,75214.52,75214.52,106829.8,299573.93,299573.93
2024-05,P5,EUR,2381.96,1244750.85,976.96,73478.26,73478.26,104227.34,304060.68,304060.68
2024-06,P5,EUR,2337.13,1214256.59,939.89,66449.51,66449.51,104271.26,302161.39,302161.39
2024-07,P5,EUR,2023.94,1028424.74,802.48,57064.18,57064.18,89460.9,293468.47,293468.47
2024-08,P5,EUR,2332.0,1188126.53,937.03,71030.07,71030.07,102829.94,305331.33,305331.33
2024-09,P5,EUR,2497.04,1293817.31,1020.34,75813.62,75813.62,111184.44,296948.72,296948.72
2024-10,P5,EUR,2487.41,1291172.52,1054.22,77308.0,77308.0,110282.0,304308.73,304308.73
2024-11,P5,EUR,2635.51,1361280.17,1161.81,88508.9,88508.9,117093.36,309874.93,309874.93
2024-12,P5,EUR,2511.64,1285713.35,1108.5,83069.4,83069.4,111764.82,308663.26,308663.26
2025-01,P5,EUR,2206.84,1171307.86,989.59,76438.54,76438.54,99404.57,323136.2,323136.2
2025-02,P5,EUR,2167.35,1143770.93,976.57,74125.9,74125.9,98181.43,309752.12,309752.12
2025-03,P5,EUR,2442.94,1283938.05,1068.05,81759.87,81759.87,111618.95,326891.99,326891.99
2025-04,P5,EUR,2404.93,1294132.44,991.91,79829.2,79829.2,107555.96,312142.41,312142.41
2025-05,P5,EUR,2414.79,1278636.0,994.53,79405.46,79405.46,109522.48,315231.23,315231.23
2025-06,P5,EUR,2264.73,1207028.45,913.81,77657.76,77657.76,101948.1,311243.84,311243.84
2025-07,P5,EUR,2105.66,1131148.76,829.72,65370.6,65370.6,94795.47,319325.04,319325.04
2025-08,P5,EUR,2351.42,1280183.98,950.31,74167.32,74167.32,108292.18,303771.79,303771.79
2025-09,P5,EUR,2531.99,1354307.82,1039.87,80495.18,80495.18,113020.37,313041.01,313041.01
2025-10,P5,EUR,2659.68,1443100.39,1119.57,94400.93,94400.93,119779.35,303692.69,303692.69
2025-11,P5,EUR,2601.2,1395814.69,1124.12,91807.21,91807.21,117772.55,326248.38,326248.38
2025-12,P5,EUR,2579.77,1386960.46,1136.53,92410.72,92410.72,115138.62,319515.09,319515.09
