customer_id,tier,contract_type,plant_id,segment_id,vol,sales,contribution_before_cts,cost_to_serve,contribution_after_cts,fixed_alloc,ebitda,margin,cts_per_t,avg_order_t
C069,Small,List price,P4,S3,1232.32,1192898.79,374227.2425,370324.72,3902.5225,169545.8963,-165643.3739,-0.1389,300.5102,4.1353
C070,Small,List price,P2,S3,1309.48,1321321.44,448233.3428,489293.0,-41059.6572,180161.7764,-221221.4337,-0.1674,373.6544,3.1402
C071,Small,List price,P4,S2,1714.71,1668619.39,518985.9454,685698.0,-166712.0546,235914.4085,-402626.4631,-0.2413,399.8915,2.9211
C072,Small,List price,P1,S2,1955.32,2117507.37,816726.6476,481419.0,335307.6476,269018.1787,66289.4689,0.0313,246.2098,6.2074
C073,Small,List price,P1,S4,1802.99,2392282.49,1133990.0254,514291.0,619699.0254,248060.2081,371638.8174,0.1553,285.2434,4.7572
C074,Small,List price,P3,S3,1142.84,1082148.09,327168.3676,408882.23,-81713.8624,157234.9975,-238948.8599,-0.2208,357.7773,3.284
C075,Small,List price,P4,S3,1999.75,1944801.9,616300.8392,635331.12,-19030.2808,275130.9775,-294161.2583,-0.1513,317.7053,3.8906
C076,Small,List price,P2,S1,1737.96,1959242.32,786285.9464,539858.0,246427.9464,239113.206,7314.7404,0.0037,310.6274,4.0797
C077,Small,List price,P1,S3,2370.99,2416475.07,853679.4689,698230.0,155449.4689,326207.1741,-170757.7052,-0.0707,294.4888,4.5076
C078,Small,List price,P4,S1,2194.28,2396081.87,920442.6747,651392.15,269050.5247,301894.9375,-32844.4128,-0.0137,296.8592,4.0938
C079,Small,List price,P4,S4,693.03,921113.57,433848.6318,286438.59,147410.0418,95348.9293,52061.1125,0.0565,413.3134,2.7721
C080,Small,List price,P2,S1,1433.41,1554113.14,586698.8177,460250.0,126448.8177,197212.3988,-70763.581,-0.0455,321.0875,4.3437
